ID,Week,Phase,Year,Authors,Title,Journal/Conference,Citations,Database,Status,Relevance (1-5),Key Contribution,URL,Notes
P2-016,1,1.2,2025,Awan et al.,Benchmarking Generative AI Against Bayesian Optimization for Constrained Multi-Objective Inverse Design,arXiv,0,arXiv,Read,5,qEHVI (BO) as performance ceiling; LLMs as fast alternatives,https://arxiv.org/abs/2511.00070,Critical for inverse design comparison
P2-006,1,1.2,2025,Ma et al.,ParetoLens: A Visual Analytics Framework for Exploring Solution Sets of MOEA,arXiv,0,arXiv,Read,5,Modular/algorithm-agnostic visual analytics framework for MOO,https://arxiv.org/abs/2501.02857,Directly applicable to MVP visualization
P2-017,1,1.2,2025,Chen et al.,Interactive Multi-Objective Probabilistic Preference Learning with Soft & Hard Bounds,arXiv,0,arXiv,Read,5,Active-MoSH framework for balancing soft/hard bounds in DM,https://arxiv.org/abs/2506.21887,Human-in-the-loop engineering
P2-005,1,1.2,2025,Noti et al.,AI-Assisted Decision Making with Human Learning,arXiv,0,arXiv,Read,5,Trade-off between accuracy and human learning in feature recommendation,https://arxiv.org/abs/2502.13062,Decision support psychology
P2-013,1,1.2,2023,Ozaki et al.,Multi-Objective Bayesian Optimization with Active Preference Learning,arXiv,0,arXiv,Read,5,Active learning strategy for preference estimation in expensive MOO,https://arxiv.org/abs/2311.13460,Algorithm for preference elicitation
P2-002,1,1.2,2025,Noorani et al.,Human-AI Collaborative Uncertainty Quantification,arXiv,0,arXiv,Read,5,Framework for avoiding counterfactual harm and enhancing complementarity in UQ,https://arxiv.org/abs/2510.23476,Critical for reliable engineering design
P1-020,1,1.2,2025,Cao et al.,Automatic selection of the best neural architecture for time series forecasting via MOO and Pareto,arXiv,0,arXiv,Read,3,Data-driven composite architectures tailored to user criteria,https://arxiv.org/abs/2501.12215,Structural health monitoring context
P1-012,1,1.2,2024,Li et al.,2D-DPO: Scaling Direct Preference Optimization with 2-Dimensional Supervision,arXiv,0,arXiv,Read,4,Extending preference to multi-aspect objectives (segments/aspects),https://arxiv.org/abs/2410.19720,Relevant for multi-criteria sorting
P2-019,1,1.2,2021,Izadinia et al.,A Versatile Optimization Framework For Sustainable Post-Disaster Building Reconstruction,arXiv,0,arXiv,Read,5,Mixed-integer nonlinear model incorporating regional building codes for sustainable design,https://arxiv.org/abs/2111.13178,Very relevant for structural code integration
P2-011,1,1.2,2025,Wang et al.,Preference is More Than Comparisons: Rethinking Dueling Bandits with Augmented Human Feedback,arXiv,0,arXiv,Read,4,Augmented feedback for efficient Interactive Preference Elicitation (IPE),https://arxiv.org/abs/2511.09047,Reduces human effort in MOO
P2-018,1,1.2,2022,Talatahari et al.,Multi-objective optimization of double curvature arch dams subjected to seismic loading using charged system search,arXiv,0,arXiv,Read,4,Minimizing concrete volume and stress state for arch dams,https://arxiv.org/abs/2207.04366,Real-world structural MOO application
P2-003,1,1.2,2025,Jelinek et al.,Six Guidelines for Trustworthy Automation Design,arXiv,0,arXiv,Read,4,Calibrated trust; common ground; Gricean maxims; Situational context,https://arxiv.org/abs/2508.02371,UI/UX for decision support
P2-004,1,1.2,2025,Kim et al.,Beyond Tools: Heavy Users Integrating LLMs into Everyday Tasks,arXiv,0,arXiv,Read,4,Social validation; self-regulation; cognitive optimization; LLMs as rational entities,https://arxiv.org/abs/2502.15395,HCI/Decision patterns
P2-007,1,1.2,2024,Yang et al.,Orbit: A Framework for Designing and Evaluating Multi-objective Rankers,arXiv,0,arXiv,Read,4,Boundary objects; interaction with objective spaces; real-time trade-offs,https://arxiv.org/abs/2411.04798,MOO Framework
P2-008,1,1.2,2022,Lin et al.,Pareto Set Learning for Expensive Multi-Objective Optimization,arXiv,0,arXiv,Read,5,Continuous Pareto set modeling; MOEA/D generalization; batch evaluation support,https://arxiv.org/abs/2210.08495,Algorithm - PSL
P2-009,1,1.2,2023,Lanfermann et al.,Identification of Energy Management Configuration Concepts from Pareto-optimal Solutions,arXiv,0,arXiv,Read,4,Concept identification; description space partitioning; biased preference,https://arxiv.org/abs/2306.08318,Energy/Building Optimization
P2-010,1,1.2,2023,Huang et al.,A Comparative Visual Analytics Framework for Evaluating Evolutionary Processes in MOO,arXiv,0,arXiv,Read,5,Explainable EMO; intermediate generation comparison; multifaceted visualization,https://arxiv.org/abs/2308.05640,Visualization + Algorithms
P2-014,1,1.2,2024,Zhang et al.,Lexicographic optimization for multi-criteria sorting with non-monotonic criteria,arXiv,0,arXiv,Read,4,Lexicographic optimization; non-monotonic criteria; inconsistency rectification,https://arxiv.org/abs/2409.01612,Decision Theory
P2-015,1,1.2,2025,Annadani et al.,Preference-Guided Diffusion for Multi-Objective Offline Optimization,arXiv,0,arXiv,Read,4,Classifier-based guidance; diversity-aware preference; diffusion for Pareto,https://arxiv.org/abs/2503.17299,Generative AI MOO
P2-021,1,1.2,2024,Lee et al.,Vehicle Suspension Recommendation System: Multi-Fidelity Neural Network MOO,arXiv,0,arXiv,Read,3,DBSCAN sampling (5%); multi-fidelity surrogate models; Pareto rule mining,https://arxiv.org/abs/2410.03045,Mechanical Design
P3-001,1,1.3,2026,Parhi et al.,Design of structural elements for residential buildings utilizing non-linear multi-objective optimization and interpretable data-driven learning,Struct Multidiscip Optim,0,SemanticScholar,Read,5,Integrated logic combining non-linear MOEA with interpretable ML for code-compliant beam/column design,https://doi.org/10.1007/s00158-025-04234-1,Critical for Phase 1.3
P3-002,1,1.3,2023,Hong & Nguyen,Pareto frontier for steel-reinforced concrete beam developed based on ANN-based Hong-Lagrange algorithm,J Asian Archit Build Eng,3,SemanticScholar,Read,5,ANN-based Hong-Lagrange algorithm for developing Pareto frontiers in RC beams,https://doi.org/10.1080/13467581.2023.2193621,Specific to RC beams
P3-003,1,1.3,2023,Santos et al.,Towards sustainable reinforced concrete beams: multi-objective optimization for cost, CO2 emission, and crack prevention,Asian J Civ Eng,10,SemanticScholar,Read,5,Optimization of cost vs CO2 vs crack prevention in RC beams,https://doi.org/10.1007/s42107-023-00795-y,Sustainability objectives
P3-004,1,1.3,2025,Kumar et al.,Multi-Objective Optimization of Rein-Forced Concrete Buildings using NSGA-II,IEEE SoftComp,0,SemanticScholar,Read,4,NSGA-II application for multi-element building optimization,https://doi.org/10.1109/SoftComp.2025.11170804,Recent building-level MOO
